dataset,fold,method,train_accuracy,test_accuracy,gap,f1,train_time
synthetic_noisy,4,AdaPrune_gap,0.95,0.84,0.11,0.84,0.8193
synthetic_noisy,4,AdaPrune_trend,0.95,0.84,0.11,0.84,0.7959
synthetic_noisy,4,AdaPrune_data,0.9175,0.84,0.0775,0.84,0.7433
synthetic_noisy,4,AdaPrune_hybrid,0.93,0.845,0.085,0.845,0.8225
synthetic_small,0,XGB_default,1.0,0.8333,0.1667,0.8331,0.0388
synthetic_small,0,XGB_tuned,1.0,0.8,0.2,0.7998,0.0271
synthetic_small,0,RF_default,1.0,0.8167,0.1833,0.8154,0.0964
synthetic_small,0,AdaPrune_gap,0.9667,0.85,0.1167,0.849,0.3123
synthetic_small,0,AdaPrune_trend,0.9583,0.75,0.2083,0.7483,0.3158
synthetic_small,0,AdaPrune_data,0.9583,0.8333,0.125,0.8326,0.2886
synthetic_small,0,AdaPrune_hybrid,0.9583,0.8333,0.125,0.8326,0.3021
synthetic_small,1,XGB_default,1.0,0.8333,0.1667,0.8333,0.0375
synthetic_small,1,XGB_tuned,1.0,0.8333,0.1667,0.8326,0.0222
synthetic_small,1,RF_default,1.0,0.8167,0.1833,0.8162,0.1064
synthetic_small,1,AdaPrune_gap,0.9708,0.7667,0.2042,0.7664,0.3102
synthetic_small,1,AdaPrune_trend,0.9708,0.7667,0.2042,0.7664,0.3279
synthetic_small,1,AdaPrune_data,0.975,0.7667,0.2083,0.7656,0.3062
synthetic_small,1,AdaPrune_hybrid,0.975,0.7667,0.2083,0.7656,0.3032
synthetic_small,2,XGB_default,1.0,0.9,0.1,0.8999,0.0341
synthetic_small,2,XGB_tuned,1.0,0.8167,0.1833,0.8162,0.0217
synthetic_small,2,RF_default,1.0,0.85,0.15,0.8496,0.0958
synthetic_small,2,AdaPrune_gap,0.9625,0.85,0.1125,0.85,0.2909
synthetic_small,2,AdaPrune_trend,0.95,0.8333,0.1167,0.8326,0.3112
synthetic_small,2,AdaPrune_data,0.9667,0.7833,0.1833,0.7833,0.293
synthetic_small,2,AdaPrune_hybrid,0.9667,0.7833,0.1833,0.7833,0.3006
synthetic_small,3,XGB_default,1.0,0.8833,0.1167,0.8833,0.0319
synthetic_small,3,XGB_tuned,1.0,0.8,0.2,0.798,0.02
synthetic_small,3,RF_default,1.0,0.8333,0.1667,0.8333,0.0957
synthetic_small,3,AdaPrune_gap,0.9625,0.7833,0.1792,0.7833,0.2966
synthetic_small,3,AdaPrune_trend,0.9625,0.7833,0.1792,0.7828,0.2966
synthetic_small,3,AdaPrune_data,0.9625,0.7833,0.1792,0.7833,0.3019
synthetic_small,3,AdaPrune_hybrid,0.9625,0.7833,0.1792,0.7833,0.3108
synthetic_small,4,XGB_default,1.0,0.8667,0.1333,0.8665,0.0503
synthetic_small,4,XGB_tuned,1.0,0.8667,0.1333,0.8665,0.0208
synthetic_small,4,RF_default,1.0,0.85,0.15,0.8496,0.0992
synthetic_small,4,AdaPrune_gap,0.9583,0.8,0.1583,0.7991,0.2963
synthetic_small,4,AdaPrune_trend,0.9417,0.8,0.1417,0.7991,0.3451
synthetic_small,4,AdaPrune_data,0.9583,0.8,0.1583,0.7991,0.2937
synthetic_small,4,AdaPrune_hybrid,0.9583,0.8,0.1583,0.7991,0.2977
synthetic_highdim,0,XGB_default,1.0,0.81,0.19,0.81,0.0983
synthetic_highdim,0,XGB_tuned,1.0,0.79,0.21,0.79,0.0781
synthetic_highdim,0,RF_default,1.0,0.82,0.18,0.8197,0.1849
synthetic_highdim,0,AdaPrune_gap,0.955,0.75,0.205,0.7494,1.0242
synthetic_highdim,0,AdaPrune_trend,0.96,0.68,0.28,0.6795,1.3504
synthetic_highdim,0,AdaPrune_data,0.95,0.78,0.17,0.7792,0.9917
synthetic_highdim,0,AdaPrune_hybrid,0.9425,0.77,0.1725,0.7694,0.9562
synthetic_highdim,1,XGB_default,1.0,0.8,0.2,0.7987,0.0932
synthetic_highdim,1,XGB_tuned,1.0,0.79,0.21,0.79,0.0629
synthetic_highdim,1,RF_default,1.0,0.8,0.2,0.7999,0.1699
synthetic_highdim,1,AdaPrune_gap,0.9575,0.72,0.2375,0.72,0.9865
synthetic_highdim,1,AdaPrune_trend,0.96,0.73,0.23,0.7298,1.3623
synthetic_highdim,1,AdaPrune_data,0.955,0.74,0.215,0.7399,1.0021
synthetic_highdim,1,AdaPrune_hybrid,0.9575,0.74,0.2175,0.7399,1.0097
