dataset,fold,method,accuracy,f1,roc_auc,train_time
bank-marketing,2,AdaPrune_data,0.9031187790311878,0.5330490405117271,0.9278031488307428,17.629989624023438
bank-marketing,2,AdaPrune_hybrid,0.9031187790311878,0.5330490405117271,0.9278031488307428,15.860921859741211
bank-marketing,3,RF_default,0.9095332890953329,0.5193889541715628,0.9307664241526532,0.28201723098754883
bank-marketing,3,XGB_default,0.9103074541030746,0.5604336043360434,0.9333376109496878,0.09504389762878418
bank-marketing,3,XGB_tuned,0.913846494138465,0.5645612073784237,0.9376019880024699,0.09091973304748535
bank-marketing,3,LGBM_default,0.9104180491041804,0.547486033519553,0.9385092846373276,0.11585688591003418
bank-marketing,3,AdaPrune_gap,0.9097544790975448,0.5415730337078651,0.9314904028283411,16.05856680870056
bank-marketing,3,AdaPrune_trend,0.9097544790975448,0.5415730337078651,0.9314904028283411,15.9069344997406
bank-marketing,3,AdaPrune_data,0.9097544790975448,0.5415730337078651,0.9314904028283411,15.737406492233276
bank-marketing,3,AdaPrune_hybrid,0.9097544790975448,0.5415730337078651,0.9314904028283411,15.898448944091797
bank-marketing,4,RF_default,0.90278699402787,0.49511774842044803,0.9234342385148369,0.2604238986968994
bank-marketing,4,XGB_default,0.9045565140455651,0.5445910290237467,0.9279628491387313,0.07893514633178711
bank-marketing,4,XGB_tuned,0.9078743640787437,0.548509485094851,0.9295315583908839,0.0728306770324707
bank-marketing,4,LGBM_default,0.9064366290643663,0.5422077922077922,0.9298054402756363,0.10698342323303223
bank-marketing,4,AdaPrune_gap,0.9035611590356116,0.5219298245614035,0.9251141105462343,15.62385892868042
bank-marketing,4,AdaPrune_trend,0.9035611590356116,0.5219298245614035,0.9251141105462343,15.802993774414062
bank-marketing,4,AdaPrune_data,0.9035611590356116,0.5219298245614035,0.9251141105462343,15.75010633468628
bank-marketing,4,AdaPrune_hybrid,0.9035611590356116,0.5219298245614035,0.9251141105462343,15.685819387435913
credit-g,0,RF_default,0.775,0.8534201954397395,0.8122619047619047,0.12319326400756836
credit-g,0,XGB_default,0.775,0.845360824742268,0.7832142857142858,0.051466941833496094
credit-g,0,XGB_tuned,0.755,0.8327645051194539,0.7836904761904762,0.0425260066986084
credit-g,0,LGBM_default,0.76,0.8356164383561644,0.7727380952380952,0.05555224418640137
credit-g,0,AdaPrune_gap,0.765,0.842809364548495,0.787142857142857,0.3856475353240967
credit-g,0,AdaPrune_trend,0.765,0.842809364548495,0.7880952380952381,0.40848422050476074
credit-g,0,AdaPrune_data,0.735,0.8250825082508251,0.7833333333333333,0.40467238426208496
credit-g,0,AdaPrune_hybrid,0.74,0.8266666666666667,0.7760714285714286,0.4223744869232178
credit-g,1,RF_default,0.77,0.8456375838926175,0.76375,0.10385775566101074
credit-g,1,XGB_default,0.75,0.8299319727891157,0.7670238095238094,0.043311119079589844
credit-g,1,XGB_tuned,0.745,0.825938566552901,0.753452380952381,0.030687808990478516
credit-g,1,LGBM_default,0.755,0.8327645051194539,0.7514285714285714,0.05439591407775879
credit-g,1,AdaPrune_gap,0.735,0.8191126279863481,0.7551190476190476,0.4165356159210205
credit-g,1,AdaPrune_trend,0.735,0.8191126279863481,0.7535714285714286,0.40239763259887695
credit-g,1,AdaPrune_data,0.74,0.8231292517006803,0.7492857142857142,0.38239431381225586
credit-g,1,AdaPrune_hybrid,0.745,0.8271186440677966,0.7601190476190477,0.3899879455566406
credit-g,2,RF_default,0.745,0.8294314381270903,0.7601785714285714,0.100494384765625
credit-g,2,XGB_default,0.775,0.847457627118644,0.7775000000000001,0.04330849647521973
credit-g,2,XGB_tuned,0.72,0.8095238095238095,0.7714285714285715,0.04059004783630371
credit-g,2,LGBM_default,0.75,0.8287671232876712,0.7535714285714286,0.0571446418762207
credit-g,2,AdaPrune_gap,0.72,0.8095238095238095,0.7544642857142858,0.3785085678100586
credit-g,2,AdaPrune_trend,0.735,0.822742474916388,0.7564285714285715,0.38225603103637695
credit-g,2,AdaPrune_data,0.74,0.825503355704698,0.7510714285714285,0.3747730255126953
credit-g,2,AdaPrune_hybrid,0.725,0.8148148148148148,0.7523809523809523,0.39420318603515625
credit-g,3,RF_default,0.745,0.8349514563106796,0.8185119047619048,0.1032416820526123
credit-g,3,XGB_default,0.745,0.8235294117647058,0.7867857142857143,0.05698561668395996
credit-g,3,XGB_tuned,0.79,0.8571428571428571,0.8059523809523809,0.03922080993652344
credit-g,3,LGBM_default,0.79,0.8581081081081081,0.8124999999999999,0.07450103759765625
credit-g,3,AdaPrune_gap,0.76,0.8389261744966443,0.8117857142857143,0.45285892486572266
credit-g,3,AdaPrune_trend,0.765,0.842809364548495,0.8163095238095238,0.44909095764160156
credit-g,3,AdaPrune_data,0.765,0.842809364548495,0.8104761904761905,0.444807767868042
credit-g,3,AdaPrune_hybrid,0.76,0.8378378378378378,0.8117857142857143,0.46880650520324707
credit-g,4,RF_default,0.76,0.8451612903225807,0.7874404761904762,0.11926388740539551
credit-g,4,XGB_default,0.75,0.831081081081081,0.7869047619047619,0.05314135551452637
credit-g,4,XGB_tuned,0.76,0.8378378378378378,0.778452380952381,0.04203605651855469
credit-g,4,LGBM_default,0.77,0.8435374149659864,0.7925,0.06369924545288086
credit-g,4,AdaPrune_gap,0.755,0.835016835016835,0.7601190476190476,0.4479844570159912
credit-g,4,AdaPrune_trend,0.755,0.835016835016835,0.7619047619047619,0.44855380058288574
credit-g,4,AdaPrune_data,0.765,0.8438538205980066,0.7629761904761905,0.4413166046142578
credit-g,4,AdaPrune_hybrid,0.775,0.8504983388704319,0.7796428571428571,0.4269435405731201
diabetes,0,RF_default,0.7922077922077922,0.673469387755102,0.856111111111111,0.11850833892822266
diabetes,0,XGB_default,0.7467532467532467,0.6285714285714286,0.8049999999999999,0.04647946357727051
diabetes,0,XGB_tuned,0.7532467532467533,0.6346153846153846,0.8355555555555555,0.033532142639160156
diabetes,0,LGBM_default,0.7662337662337663,0.660377358490566,0.8181481481481482,0.03630709648132324
diabetes,0,AdaPrune_gap,0.7662337662337663,0.64,0.8353703703703704,0.35411763191223145
diabetes,0,AdaPrune_trend,0.7662337662337663,0.64,0.8353703703703704,0.33797740936279297
diabetes,0,AdaPrune_data,0.7727272727272727,0.6534653465346535,0.8494444444444444,0.35085463523864746
diabetes,0,AdaPrune_hybrid,0.7532467532467533,0.6274509803921569,0.8350000000000001,0.3443915843963623
diabetes,1,RF_default,0.7792207792207793,0.66,0.8404629629629631,0.12877535820007324
diabetes,1,XGB_default,0.7727272727272727,0.6601941747572816,0.8287037037037037,0.05255413055419922
diabetes,1,XGB_tuned,0.7597402597402597,0.6336633663366337,0.8487037037037037,0.03766155242919922
diabetes,1,LGBM_default,0.7727272727272727,0.6464646464646465,0.8351851851851851,0.045537710189819336
diabetes,1,AdaPrune_gap,0.7857142857142857,0.6597938144329897,0.8646296296296296,0.3950502872467041
diabetes,1,AdaPrune_trend,0.7857142857142857,0.6597938144329897,0.8646296296296296,0.32242918014526367
diabetes,1,AdaPrune_data,0.7792207792207793,0.6382978723404256,0.8707407407407407,0.323075532913208
diabetes,1,AdaPrune_hybrid,0.7597402597402597,0.6021505376344086,0.8601851851851852,0.3529810905456543
diabetes,2,RF_default,0.7662337662337663,0.64,0.8239814814814815,0.10968732833862305
diabetes,2,XGB_default,0.7597402597402597,0.6262626262626263,0.7868518518518519,0.044473886489868164
diabetes,2,XGB_tuned,0.7272727272727273,0.6037735849056604,0.7881481481481482,0.04093027114868164
diabetes,2,LGBM_default,0.7337662337662337,0.616822429906542,0.788888888888889,0.0407862663269043
diabetes,2,AdaPrune_gap,0.7662337662337663,0.64,0.7998148148148148,0.331864595413208
diabetes,2,AdaPrune_trend,0.7662337662337663,0.64,0.7999999999999999,0.3131551742553711
diabetes,2,AdaPrune_data,0.7597402597402597,0.6262626262626263,0.7975925925925926,0.3045613765716553
