dataset,fold,method,accuracy,train_accuracy,gap,f1,roc_auc,train_time
bank-marketing,4,AdaPrune_hybrid,0.9035611590356116,0.9289723243661699,0.025411165330558316,0.8967077549970833,0.9251141105462343,17.536747932434082
credit-default,0,RF_default,0.8165,0.99925,0.18274999999999997,0.7970340105648561,0.7713650245244678,0.339740514755249
credit-default,0,XGB_default,0.8125,0.886125,0.07362500000000005,0.7913446798922885,0.7722713950837596,0.09629583358764648
credit-default,0,XGB_tuned,0.8191666666666667,0.8439583333333334,0.024791666666666656,0.797308584718786,0.7911802657977801,0.08522701263427734
credit-default,0,LGBM_default,0.819,0.842,0.02300000000000002,0.7975640957200778,0.7871346795572702,0.09521603584289551
credit-default,0,AdaPrune_gap,0.8186666666666667,0.8427916666666667,0.024125000000000063,0.7967976188482541,0.7886737446360786,28.922831058502197
credit-default,0,AdaPrune_trend,0.82,0.8419166666666666,0.021916666666666695,0.7983897944720056,0.7889568494440089,28.183850288391113
credit-default,0,AdaPrune_data,0.8186666666666667,0.8427916666666667,0.024125000000000063,0.7967976188482541,0.7886737446360786,28.26502776145935
credit-default,0,AdaPrune_hybrid,0.8186666666666667,0.8420833333333333,0.02341666666666664,0.7968963855421688,0.7885607605937448,28.164921522140503
credit-default,1,RF_default,0.8133333333333334,0.9992916666666667,0.18595833333333334,0.794683288975047,0.7617076147007509,0.33791232109069824
credit-default,1,XGB_default,0.8098333333333333,0.8840416666666666,0.07420833333333332,0.7905965897284907,0.7628799928270455,0.09176158905029297
credit-default,1,XGB_tuned,0.8203333333333334,0.8455416666666666,0.025208333333333277,0.8002722993320392,0.7786600895232454,0.08332252502441406
credit-default,1,LGBM_default,0.8186666666666667,0.8445,0.025833333333333375,0.7984195377302956,0.7749231544034892,0.08890032768249512
credit-default,1,AdaPrune_gap,0.816,0.84375,0.027750000000000052,0.7952616102676504,0.7729071316874134,28.2915096282959
credit-default,1,AdaPrune_trend,0.816,0.84375,0.027750000000000052,0.7952616102676504,0.7729071316874134,28.014273166656494
credit-default,1,AdaPrune_data,0.816,0.84375,0.027750000000000052,0.7952616102676504,0.7729071316874134,28.470529079437256
credit-default,1,AdaPrune_hybrid,0.816,0.84375,0.027750000000000052,0.7952616102676504,0.7729071316874134,28.303828239440918
credit-default,2,RF_default,0.8151666666666667,0.999375,0.1842083333333333,0.7947704365067322,0.7598793821260876,0.32169103622436523
credit-default,2,XGB_default,0.8101666666666667,0.8874583333333333,0.07729166666666665,0.7897108073299302,0.7668851880586434,0.09960699081420898
credit-default,2,XGB_tuned,0.8181666666666667,0.8456666666666667,0.02749999999999997,0.7967517120238775,0.7795730769733165,0.08797717094421387
credit-default,2,LGBM_default,0.8196666666666667,0.8440833333333333,0.024416666666666642,0.7986706691560247,0.7800771834413766,0.089385986328125
credit-default,2,AdaPrune_gap,0.8138333333333333,0.844625,0.03079166666666666,0.7907896568581949,0.7746160300373921,28.171447277069092
credit-default,2,AdaPrune_trend,0.8148333333333333,0.8450416666666667,0.030208333333333393,0.7917080468522077,0.7747776956593466,27.89606499671936
credit-default,2,AdaPrune_data,0.8138333333333333,0.844625,0.03079166666666666,0.7907896568581949,0.7746160300373921,27.998937845230103
credit-default,2,AdaPrune_hybrid,0.8148333333333333,0.8450416666666667,0.030208333333333393,0.7917080468522077,0.7747776956593466,28.383058786392212
credit-default,3,RF_default,0.8211666666666667,0.9995,0.17833333333333334,0.8016186266406002,0.7649960789031442,0.33233046531677246
credit-default,3,XGB_default,0.8183333333333334,0.88675,0.06841666666666668,0.7973763334074188,0.7649289937173757,0.09689998626708984
credit-default,3,XGB_tuned,0.8248333333333333,0.8443333333333334,0.019500000000000073,0.8050443460377847,0.7819695984774242,0.08393669128417969
credit-default,3,LGBM_default,0.8265,0.8407083333333333,0.014208333333333267,0.8061598946109729,0.7841589783442247,0.09428715705871582
credit-default,3,AdaPrune_gap,0.8243333333333334,0.8415,0.017166666666666663,0.8042554270607464,0.7769467564554574,28.332562923431396
credit-default,3,AdaPrune_trend,0.825,0.841375,0.01637500000000003,0.8049052874016234,0.7767085717934854,28.148266315460205
credit-default,3,AdaPrune_data,0.8243333333333334,0.8415,0.017166666666666663,0.8042554270607464,0.7769467564554574,28.34046697616577
credit-default,3,AdaPrune_hybrid,0.8246666666666667,0.84175,0.01708333333333334,0.8046268588879555,0.7769011998088717,28.09892177581787
