dataset,fold,method,accuracy,f1,auc,train_time
synthetic_noisy_small,1,AdaPrune_gap,0.93125,0.9312096774193549,,0.32138609886169434
synthetic_noisy_small,1,AdaPrune_trend,0.93125,0.9312419405259661,,0.8957056999206543
synthetic_noisy_small,1,AdaPrune_dataaware,0.9375,0.9374804656977652,,0.8908686637878418
synthetic_noisy_small,1,XGB_default,0.81875,0.818728752295729,,0.07155871391296387
synthetic_noisy_small,1,XGB_tuned,0.81875,0.8186436950146628,,0.04805254936218262
synthetic_noisy_small,1,LGBM_default,0.825,0.8249452782989369,,0.04804277420043945
synthetic_noisy_small,1,RF_default,0.80625,0.8057716799247618,,0.23067903518676758
synthetic_noisy_small,1,RF_tuned,0.8,0.7996240601503759,,0.17894268035888672
synthetic_noisy_small,2,AdaPrune_hybrid,0.99375,0.9937502441501621,,0.2981092929840088
synthetic_noisy_small,2,AdaPrune_gap,0.9375,0.9374413237365044,,0.30639195442199707
synthetic_noisy_small,2,AdaPrune_trend,0.975,0.975,,0.8218111991882324
synthetic_noisy_small,2,AdaPrune_dataaware,0.9625,0.9624647942419028,,0.3405287265777588
synthetic_noisy_small,2,XGB_default,0.8375,0.8373474417149115,,0.06507420539855957
synthetic_noisy_small,2,XGB_tuned,0.84375,0.8437316887378413,,0.04804491996765137
synthetic_noisy_small,2,LGBM_default,0.84375,0.8435359672811241,,0.052085161209106445
synthetic_noisy_small,2,RF_default,0.79375,0.7937258291339505,,0.23310303688049316
synthetic_noisy_small,2,RF_tuned,0.8375,0.8374492108141898,,0.1788020133972168
synthetic_noisy_small,3,AdaPrune_hybrid,0.98125,0.9812507324504864,,0.30632805824279785
synthetic_noisy_small,3,AdaPrune_gap,0.94375,0.9437434058848815,,0.3351716995239258
synthetic_noisy_small,3,AdaPrune_trend,0.98125,0.9812507324504864,,0.8809990882873535
synthetic_noisy_small,3,AdaPrune_dataaware,0.9875,0.9875,,0.34133410453796387
synthetic_noisy_small,3,XGB_default,0.8125,0.8125,,0.06307554244995117
synthetic_noisy_small,3,XGB_tuned,0.8,0.7999374609130706,,0.04854726791381836
synthetic_noisy_small,3,LGBM_default,0.825,0.825,,0.049224138259887695
synthetic_noisy_small,3,RF_default,0.825,0.8249452782989369,,0.22370266914367676
synthetic_noisy_small,3,RF_tuned,0.83125,0.8308333986441475,,0.17414522171020508
synthetic_noisy_small,4,AdaPrune_hybrid,0.99375,0.9937502441501621,,0.32750821113586426
synthetic_noisy_small,4,AdaPrune_gap,0.94375,0.9437434058848815,,0.31955552101135254
synthetic_noisy_small,4,AdaPrune_trend,1.0,1.0,,0.9050257205963135
synthetic_noisy_small,4,AdaPrune_dataaware,0.975,0.975,,0.37082529067993164
synthetic_noisy_small,4,XGB_default,0.84375,0.8437316887378413,,0.07408523559570312
synthetic_noisy_small,4,XGB_tuned,0.8125,0.8125,,0.05707573890686035
synthetic_noisy_small,4,LGBM_default,0.84375,0.8437316887378413,,0.05164480209350586
synthetic_noisy_small,4,RF_default,0.8125,0.8125,,0.21843409538269043
synthetic_noisy_small,4,RF_tuned,0.83125,0.8312302176546442,,0.18001914024353027
synthetic_hard,0,AdaPrune_hybrid,0.8383333333333334,0.8383328842580119,,5.494220733642578
synthetic_hard,0,AdaPrune_gap,0.755,0.7549448625940837,,1.270293951034546
synthetic_hard,0,AdaPrune_trend,0.855,0.8549963749093729,,5.484436988830566
synthetic_hard,0,AdaPrune_dataaware,0.84,0.83998399839984,,5.426607608795166
synthetic_hard,0,XGB_default,0.8616666666666667,0.8616662824063401,,0.13594508171081543
synthetic_hard,0,XGB_tuned,0.8483333333333334,0.8483228001944579,,0.11269426345825195
synthetic_hard,0,LGBM_default,0.8733333333333333,0.8733277034534869,,0.08433175086975098
synthetic_hard,0,RF_default,0.8516666666666667,0.8516629582406227,,1.0231847763061523
synthetic_hard,0,RF_tuned,0.8433333333333334,0.8433315925732509,,0.8655896186828613
synthetic_hard,1,AdaPrune_hybrid,0.95,0.9499994444382716,,5.500918388366699
synthetic_hard,1,AdaPrune_gap,0.9266666666666666,0.9266634072625451,,1.0638387203216553
